,count,acc_created,categorie
1019,1,2016-01-01,1
1020,0,2016-01-01,0
1021,0,2016-01-01,0
1022,0,2016-01-01,0
1023,0,2016-01-01,0
1024,0,2016-01-01,0
1025,0,2016-01-01,0
1026,0,2016-01-01,0
1027,6,2016-01-01,more
1028,0,2016-01-01,0
1029,0,2016-01-01,0
1030,0,2016-01-01,0
1031,0,2016-01-01,0
1032,0,2016-01-01,0
1033,3,2016-01-01,more
1034,0,2016-01-01,0
1035,0,2016-01-01,0
1036,0,2016-01-01,0
1037,3,2016-01-01,more
1038,12,2016-01-01,more
1039,0,2016-01-01,0
1040,0,2016-01-01,0
1041,0,2016-01-01,0
1042,0,2016-01-01,0
1043,0,2016-01-01,0
1044,24,2016-01-01,more
1045,0,2016-01-01,0
1046,9,2016-01-01,more
1047,0,2016-01-01,0
1048,19,2016-01-01,more
1049,15,2016-01-01,more
1050,0,2016-01-01,0
1051,0,2016-01-01,0
1052,3,2016-01-01,more
1053,0,2016-01-01,0
1054,0,2016-01-01,0
1055,6,2016-01-01,more
1056,0,2016-01-01,0
1057,0,2016-01-01,0
1058,0,2016-01-01,0
1059,13,2016-01-01,more
1060,2,2016-01-01,2
1061,3,2016-01-01,more
1062,0,2016-01-01,0
1063,0,2016-01-01,0
1064,6,2016-01-01,more
1065,0,2016-01-01,0
1066,1,2016-01-01,1
